"Serial Number","Issued DN","Import Date","Effective Date","Expiration Date","Issued CN","owner","Valid","comments"
"5E000177B823DE1E8FC6DB5CCF0000000177B8","CN=ecs.ce317.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-05T10:32:33.0200000","2026-04-05T10:22:31.0000000","2027-04-30T10:22:31.0000000","ecs.ce317.kroger.com","Rohith","Yes",""
"5E00017976D4224BA0125DB544000000017976","CN=ecs.ci001.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-15T15:19:31.0970000","2026-04-15T15:09:30.0000000","2027-05-10T15:09:30.0000000","ecs.ci001.kroger.com","Rohith","NO",""
"5E00019C8D64F19FF10E115AA6000000019C8D","CN=ecs.ci001.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-05-21T05:08:41.2570000","2026-05-21T04:58:41.0000000","2027-06-15T04:58:41.0000000","ecs.ci001.kroger.com","Rohith","NO",""
"5E00019ED6C9AEFAE566EEBF1D000000019ED6","CN=ecs.ci001.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-06-08T15:48:00.7370000","2026-06-08T15:38:00.0000000","2027-07-03T15:38:00.0000000","ecs.ci001.kroger.com","Rohith","NO",""
"5E00019EDB24B40E8BFE832E37000000019EDB","CN=ecs.ci001.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-06-08T16:22:48.0970000","2026-06-08T16:12:47.0000000","2027-07-03T16:12:47.0000000","ecs.ci001.kroger.com","Rohith","NO",""
"5E00019EE1B3E01653768EAD2F000000019EE1","CN=ecs.ci001.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-06-08T16:57:33.6800000","2026-06-08T16:47:33.0000000","2027-07-03T16:47:33.0000000","ecs.ci001.kroger.com","Rohith","NO",""
"5E00019EE66CA6A0A3F519B9E2000000019EE6","CN=ecs.ci001.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-06-08T17:43:41.7200000","2026-06-08T17:33:41.0000000","2027-07-03T17:33:41.0000000","ecs.ci001.kroger.com","Rohith","Yes",""
"5E00019EEB0E451DD177DA403C000000019EEB","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-06-08T18:13:49.4430000","2026-06-08T18:03:49.0000000","2027-07-03T18:03:49.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E00019EFE7B1F2875F545D3ED000000019EFE","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-06-09T11:32:06.3770000","2026-06-09T11:22:06.0000000","2027-07-04T11:22:06.0000000","ecs.ci003.kroger.com","Rohith","Yes",""
"5E00019CE69F5C445EED3F0D81000000019CE6","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-05-25T16:48:35.8170000","2026-05-25T16:38:35.0000000","2027-06-19T16:38:35.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E00018566856CA32BCD5D8CED000000018566","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-29T04:03:06.4770000","2026-04-29T03:53:05.0000000","2027-05-24T03:53:05.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E0001857A332C16C8500EEF3600000001857A","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-30T08:03:29.4100000","2026-04-30T07:53:29.0000000","2027-05-25T07:53:29.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E0001857EA53D77E2AE8286F900000001857E","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-30T10:03:27.3530000","2026-04-30T09:53:27.0000000","2027-05-25T09:53:27.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E000185CB3EC03C9B50A4E8180000000185CB","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-05-06T09:27:49.3470000","2026-05-06T09:17:49.0000000","2027-05-31T09:17:49.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E000185CFD29B7C58336DEC590000000185CF","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-05-06T12:17:13.9330000","2026-05-06T12:07:13.0000000","2027-05-31T12:07:13.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E000184C0F27979DB35223D520000000184C0","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-20T16:52:08.4170000","2026-04-20T16:42:08.0000000","2027-05-15T16:42:08.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E000184CF1615499A18C677A90000000184CF","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-21T12:12:45.9400000","2026-04-21T12:02:45.0000000","2027-05-16T12:02:45.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E000184FE7CF98A3FF571D0590000000184FE","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-23T11:31:49.9200000","2026-04-23T11:21:49.0000000","2027-05-18T11:21:49.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E0001851127B7AA7A9745A8A2000000018511","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-24T07:47:45.1970000","2026-04-24T07:37:41.0000000","2027-05-19T07:37:41.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E0001851854937B16701BB539000000018518","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-04-24T09:45:19.2770000","2026-04-24T09:35:19.0000000","2027-05-19T09:35:19.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"5E0000266C84F1C97F2D56F5CC00000000266C","CN=ecs.ci003.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=OH,C=US","2025-09-29T15:25:56.5800000","2025-09-29T15:15:55.0000000","2026-10-24T15:15:55.0000000","ecs.ci003.kroger.com","Rohith","NO",""
"No Matching","E=SATInStoreCloud@kroger.com,CN=ecs.ci009.kroger.com,OU=INF-InStoreCloud,O=The Kroger Co.,L=Cincinnati,ST=OH,C=US","2024-11-02T01:43:43.4370000","2024-11-02T01:33:43.0000000","2025-11-27T01:33:43.0000000","ecs.ci009.kroger.com","Rohith","NO",""
"No Matching","E=SATInStoreCloud@kroger.com,CN=ecs.ci009.kroger.com,OU=INF-InStoreCloud,O=The Kroger Co.,L=Cincinnati,ST=OH,C=US","2024-11-27T14:31:47.5400000","2024-11-27T14:21:47.0000000","2025-12-22T14:21:47.0000000","ecs.ci009.kroger.com","Rohith","NO",""
"5E000003BB892F8F58FE20612C0000000003BB","CN=ecs.ci009.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2025-05-19T12:44:34.7930000","2025-05-19T12:34:33.0000000","2026-06-13T12:34:33.0000000","ecs.ci009.kroger.com","Rohith","NO",""
"5E000003BD3F18E7888E8DE8380000000003BD","CN=ecs.ci009.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2025-05-19T15:10:29.9200000","2025-05-19T15:00:28.0000000","2026-06-13T15:00:28.0000000","ecs.ci009.kroger.com","Rohith","NO",""
"5E000003E0FBDF4C241896A5550000000003E0","CN=ecs.ci009.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2025-05-21T14:04:33.1770000","2025-05-21T13:54:32.0000000","2026-06-15T13:54:32.0000000","ecs.ci009.kroger.com","Rohith","NO",""
"5E000185D816A91E2CA2E348250000000185D8","CN=ecs.ci009.kroger.com,OU=Kroger Technology & Digital,O=The Kroger Co.,L=Cincinnati,ST=Ohio,C=US","2026-05-06T18:55:54.8770000","2026-05-06T18:45:53.0000000","2027-05-31T18:45:53.0000000","ecs.ci009.kroger.com","Rohith","NO",""
